,Time,Name,Tweet_status,Text,Length,Location
90,2019-09-08 05:58:35,tweeter_aj,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,"Gurgaon, India"
91,2019-09-08 05:58:35,ZachariasFonse1,Retweet,"Israel followed VikramLanders
ambitious journey to the moon with great hope

As we learned from Israels Beresheet lunar lander its never easy and yet its a great achievement for ISRO amp Indian science

Were positive that India will reach the moon amp beyond 🇮🇱🌕❤🇮🇳 httpstco5LRiTOTksF httpstcogzfalJhG8O",332,NaN
92,2019-09-08 05:58:35,hajelazzz,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,New Delhi
93,2019-09-08 05:58:36,majhawarnitin,Retweet,Theres nothing like failure in science we experiment amp we gain Massive respect for the scientists at ISRO who worked relentlessly over days amp nights The nation is proud of you Jai Hind 🇮🇳 Chandrayan2,215,"Ghanghata, India"
94,2019-09-08 05:58:36,VarunMathur88,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,New Delhi/Gurgaon
95,2019-09-08 05:58:37,RCshashank,Retweet,"We are proud of you ISRO 🙏🏼
ISRO 
Chandrayaan2 httpstco5hxOWUOI84",72,"Hyderabad, India"
96,2019-09-08 05:58:37,SBP_NND,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,NaN
97,2019-09-08 05:58:38,shreyasmahajan1,Retweet,"Chandrayaan2 mission was a highly complex mission which represented a significant technological leap compared to the previous missions of ISRO to explore the unexplored south pole of the Moon 

For more updates please visit httpstco4vIrztVnng",251,"Pune, Maharashtra,India"
98,2019-09-08 05:58:38,_dead4ever_01,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,🤷‍♂️
99,2019-09-08 05:58:38,IamUgupta,Retweet,My letter to VikramLander With a copy to Prime Minister narendramodi ji isro chief KSivan ji all the scientists of ISRO and all my fellow Indians all over the world Please retweet it so much that actually reaches him Jai Ho Jai Hind🙏🤓🇮🇳🇮🇳 Chandrayaan2 httpstcoybLm7Qw1iq,289,"Lucknow, India"
100,2019-09-08 05:58:38,UttaraMimamsaka,Tweet,Of course pannavaBagla tried to project a false narrative true to his character amp mentoring at Ndtv that Chandrayaan2 was a Manned mission You trolls bust his balls Even isro scientists failed to understand his cues amp failed to go along with his narrative Such Shame,288,NaN
101,2019-09-08 05:58:38,abuobeidakhalaf,Retweet,Chandrayaan2 Mission ISRO chief Sivan announces communication lost confirmation awaited  httpstcotelQaQBIrY httpstco8uqsQb2MzF,141,NaN
102,2019-09-08 05:58:38,war_warlord,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,Planet earth 
103,2019-09-08 05:58:39,SheikhFaisal321,Tweet,FarooquiJameel In this regards indian is ahead us  Pls accept this reality and try to learn and research as Quran first Verse is Iqra Parho I am being Pakistani appreciate ISRO efforts for Chandrayaan mission,216,"Lahore, Pakistan"
104,2019-09-08 05:58:40,harshaldb,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,Pune
105,2019-09-08 05:58:40,ajan3574,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,NaN
106,2019-09-08 05:58:41,TheZalam,Retweet,"So why Indian flag rejected by moon 

IndiaFailed Chandrayaan2Live Chandrayaan2 VikramLander ISRO httpstcoDpHVGC7KSZ",127,NaN
107,2019-09-08 05:58:42,itsguhan,Retweet,"Chandrayaan2 mission was a highly complex mission which represented a significant technological leap compared to the previous missions of ISRO to explore the unexplored south pole of the Moon 

For more updates please visit httpstco4vIrztVnng",251,"Chennai, India"
